"quote_type","quote_name","tech_quote_name","quote_code","quote_date","quote_currency","quote_val","tech_load_ts"
"ОФ","Propylene CFR NE Asia","propylene cfr ne asia","938750350","2026-05-01 00:00:00","USD","1275","2026-05-18 11:00:45"
"ОФ","Butadiene CFR NE Asia","butadiene cfr ne asia","938750750","2026-05-01 00:00:00","USD","1625","2026-05-18 11:00:45"
"ОФ","PPR CFR China","ppr cfr china","938751651","2026-05-01 00:00:00","USD","1416","2026-05-18 11:00:45"
"ОФ","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-06-01 00:00:00","EUR","1756","2026-06-25 00:00:47"
"ОФ","HDPE IM FD NWE","hdpe im fd nwe","938751759","2026-04-01 00:00:00","EUR","2042.26375","2026-04-17 16:01:03"
"ОФ","HDPE IM CFR China","hdpe im cfr china","938750747","2026-05-01 00:00:00","USD","1100","2026-05-18 11:00:45"
"ОФ","Polyols Flexible Slabstock Bulk DEL China","polyols flexible slabstock bulk del china","938751094","2026-05-01 00:00:00","USD","1388.22733","2026-05-18 11:00:45"
"Факт","IsoButanol CFR E Asia","isobutanol cfr e asia","938750627","2026-04-01 00:00:00","USD","1099","2026-06-04 00:00:49"
"Факт","PPB CFR China","ppb cfr china","938750078","2026-05-01 00:00:00","USD","1328","2026-06-04 00:00:49"
"Факт","LDPE CFR China","ldpe cfr china","938750366","2026-05-01 00:00:00","USD","1360","2026-06-04 00:00:49"
"Факт","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-05-01 00:00:00","EUR","2140","2026-07-14 11:01:10"
"Факт","IsoButanol CFR E Asia","isobutanol cfr e asia","938750627","2026-05-01 00:00:00","USD","1085","2026-06-04 00:00:49"
"Факт","HDPE IM CFR China","hdpe im cfr china","938750747","2026-04-01 00:00:00","USD","1091.25","2026-06-04 00:00:49"
"ОФ","LLDPE CFR Turkey","lldpe cfr turkey","938750572","2026-04-01 00:00:00","USD","1771.66762","2026-04-17 16:01:03"
"ОФ","PPH CFR China","pph cfr china","938751962","2026-04-01 00:00:00","USD","1274.41317","2026-04-17 16:01:03"
"ОФ","HDPE BM CFR Turkey","hdpe bm cfr turkey","938751759","2026-05-01 00:00:00","USD","1650","2026-05-18 11:00:45"
"ОФ","LLDPE CFR China","lldpe cfr china","938751847","2026-05-01 00:00:00","USD","1085","2026-05-18 11:00:45"
"ОФ","PPH CFR China","pph cfr china","938751962","2026-05-01 00:00:00","USD","1256","2026-05-18 11:00:45"
"Факт","Propylene CFR NE Asia","propylene cfr ne asia","938750350","2026-04-01 00:00:00","USD","1325","2026-06-04 00:00:49"
"Факт","Butadiene CFR NE Asia","butadiene cfr ne asia","938750750","2026-04-01 00:00:00","USD","2381.25","2026-06-04 00:00:49"
"Факт","PPH CFR China","pph cfr china","938751962","2026-05-01 00:00:00","USD","1248","2026-06-04 00:00:49"
"Факт","PPR CFR China","ppr cfr china","938751651","2026-06-01 00:00:00","USD","1232.5","2026-07-14 11:01:10"
